start_epoch,end_epoch,start_time,end_time,open,close,low,high,volume
1695722400,1695722640,2023-09-26 10:00:00+00:00,2023-09-26 10:04:00+00:00,26264.0,26268.96,26252.56,26268.96,7.046364
1695722700,1695722940,2023-09-26 10:05:00+00:00,2023-09-26 10:09:00+00:00,26268.96,26249.81,26247.88,26270.63,11.710707
1695723000,1695723240,2023-09-26 10:10:00+00:00,2023-09-26 10:14:00+00:00,26248.96,26244.32,26242.41,26249.4,8.744641
1695723300,1695723540,2023-09-26 10:15:00+00:00,2023-09-26 10:19:00+00:00,26244.31,26224.38,26221.44,26244.32,20.288663
1695723600,1695723840,2023-09-26 10:20:00+00:00,2023-09-26 10:24:00+00:00,26223.72,26228.21,26216.96,26236.63,18.126679
1695723900,1695724140,2023-09-26 10:25:00+00:00,2023-09-26 10:29:00+00:00,26228.2,26238.61,26223.25,26238.66,14.339159
1695724200,1695724440,2023-09-26 10:30:00+00:00,2023-09-26 10:34:00+00:00,26238.6,26231.73,26229.6,26245.28,20.329112
1695724500,1695724740,2023-09-26 10:35:00+00:00,2023-09-26 10:39:00+00:00,26231.72,26245.22,26225.0,26249.66,10.707255
1695724800,1695725040,2023-09-26 10:40:00+00:00,2023-09-26 10:44:00+00:00,26245.23,26239.35,26237.18,26252.1,7.046461
1695725100,1695725340,2023-09-26 10:45:00+00:00,2023-09-26 10:49:00+00:00,26239.35,26241.23,26231.56,26249.65,8.728962
1695725400,1695725640,2023-09-26 10:50:00+00:00,2023-09-26 10:54:00+00:00,26240.02,26232.45,26230.3,26240.02,5.803902
1695725700,1695725940,2023-09-26 10:55:00+00:00,2023-09-26 10:59:00+00:00,26232.44,26241.76,26232.44,26244.79,8.885908
1695726000,1695726240,2023-09-26 11:00:00+00:00,2023-09-26 11:04:00+00:00,26241.72,26226.03,26224.01,26241.72,8.18887
1695726300,1695726540,2023-09-26 11:05:00+00:00,2023-09-26 11:09:00+00:00,26224.01,26216.98,26216.94,26227.06,6.327449
1695726600,1695726840,2023-09-26 11:10:00+00:00,2023-09-26 11:14:00+00:00,26216.97,26188.38,26178.42,26216.98,85.473281
1695726900,1695727140,2023-09-26 11:15:00+00:00,2023-09-26 11:19:00+00:00,26188.39,26214.95,26181.87,26214.95,15.263509
1695727200,1695727440,2023-09-26 11:20:00+00:00,2023-09-26 11:24:00+00:00,26214.96,26212.33,26204.85,26217.37,10.228959
1695727500,1695727740,2023-09-26 11:25:00+00:00,2023-09-26 11:29:00+00:00,26212.33,26220.37,26212.12,26221.87,8.077102
1695727800,1695728040,2023-09-26 11:30:00+00:00,2023-09-26 11:34:00+00:00,26220.37,26249.95,26213.55,26251.49,12.893432
